post_id,username,post_text,timestamp,likes,comments,shares
1,@drrunner10,Cooking experiment gone right for once!,2026-01-01 00:04:00,91,3.0,
2,@justvoice443,Cooking experiment gone right for once!,2026-01-01 00:28:00,9,5.0,2.0
3,@mrartist788,Conference talk today was so inspiring.,2026-01-01 02:57:00,23,4.0,3.0
4,@urbantraveler960,Reading a great book on data science right now.,2026-01-01 04:49:00,53,7.0,5.0
5,@sunnyvibes978,Cooking experiment gone right for once!,2026-01-01 05:00:00,11,3.0,1.0
6,@luckyrunner26,"Feeling grateful today, small wins count.",2026-01-01 05:08:00,18,,2.0
7,@nightartist873,Can we talk about how good this weather is today?,2026-01-01 05:31:00,8,1.0,2.0
8,@wildstudent902,This is exactly why I love this community.,2026-01-01 05:47:00,57,5.0,2.0
9,@mrgamer661,Traffic this morning was unreal.,2026-01-01 05:55:00,144,13.0,9.0
10,@cosmicpanda822,"Working from the coffee shop again, love this place.",2026-01-01 08:20:00,41,4.0,1.0
11,@dailyartist662,"Big news coming soon, stay tuned!",2026-01-01 08:35:00,69,8.0,5.0
12,@justnews408,This is exactly why I love this community.,2026-01-01 10:08:00,226,9.0,11.0
13,@happythinker443,Finally finished my project after weeks of work.,2026-01-01 10:46:00,7,1.0,1.0
14,@dailytraveler231,"Big news coming soon, stay tuned!",2026-01-01 11:08:00,12,,0.0
15,@theexplorer402,Anyone else excited for the weekend?,2026-01-01 12:03:00,195,17.0,15.0
16,@dailytechupdate,Why is nobody talking about this documentary?,2026-01-01 12:04:00,917,95.0,64.0
17,@msdev488,Finally finished my project after weeks of work.,2026-01-01 13:18:00,59,3.0,4.0
18,@justnews408,Just tried the new update and it's amazing! #tech,2026-01-01 13:38:00,111,15.0,8.0
19,@dailyvoice565,Reading a great book on data science right now.,2026-01-01 13:46:00,10,4.0,
20,@drartist738,"New blog post is live, check it out!",2026-01-01 15:19:00,3,,1.0
21,@urbanlife621,Why is nobody talking about this documentary?,2026-01-01 15:25:00,29,2.0,3.0
22,@quietthinker269,This is exactly why I love this community.,2026-01-01 15:45:00,114,13.0,8.0
23,@sunnywanderer454,"New blog post is live, check it out!",2026-01-01 15:46:00,18,4.0,3.0
24,@silentpanda222,"New blog post is live, check it out!",2026-01-01 16:02:00,20,2.0,
25,@dailyrunner531,"Working from the coffee shop again, love this place.",2026-01-01 17:43:00,12,1.0,1.0
26,@cosmicsoul411,Finally finished my project after weeks of work.,2026-01-01 18:42:00,86,8.0,2.0
27,@luckythinker140,"Feeling grateful today, small wins count.",2026-01-01 18:58:00,178,22.0,12.0
28,@quietvibes333,"Big news coming soon, stay tuned!",2026-01-01 21:29:00,1,1.0,
29,@urbanwanderer741,"New blog post is live, check it out!",2026-01-01 23:13:00,61,6.0,4.0
