post_id,username,post_text,timestamp,likes,comments,shares,language
923,@coderthinker615,Why is nobody talking about this documentary?,2026-01-31 23:30:00,12,1.0,1.0,en
4970,@techexplorer915,Traffic this morning was unreal.,2026-06-28 23:11:00,10,5.0,2.0,en
2684,@realchef424,Cette nouvelle est incroyable.,2026-04-06 08:17:00,32,5.0,2.0,fr
138,@mrwriter160,Anyone else excited for the weekend?,2026-01-04 00:31:00,19,3.0,0.0,en
2040,@trueexplorer291,Feliz viernes a todos!,2026-03-13 19:20:00,7,2.0,1.0,es
2613,@msdreamer242,Wat een mooie dag vandaag!,2026-04-03 19:38:00,32,4.0,1.0,nl
3756,@realgamer938,Just tried the new update and it's amazing! #tech,2026-05-15 20:09:00,6,3.0,,en
4865,@mrthinker789,Just adopted a puppy and I'm obsessed.,2026-06-25 06:56:00,43,,2.0,en
1282,@mssoul242,Why is nobody talking about this documentary?,2026-02-13 19:33:00,37,6.0,2.0,en
1776,@dailysoul400,Kan niet wachten op het weekend!,2026-03-03 09:43:00,56,11.0,1.0,nl
1614,@digitalexplorer54,,2026-02-25 07:32:00,40,6.0,1.0,en
4518,@dailytechupdate,Why is nobody talking about this documentary?,2026-06-12 19:50:00,632,89.0,18.0,en
1717,@mrlife490,This is exactly why I love this community.,2026-02-28 16:47:00,34,3.0,2.0,en
4789,@wildwriter840,Conference talk today was so inspiring.,2026-06-22 06:43:00,41,9.0,1.0,en
2269,@techartist752,Just tried the new update and it's amazing! #tech,2026-03-21 06:50:00,10,4.0,0.0,en
2404,@thedev461,Wat een mooie dag vandaag!,2026-03-27 19:01:00,39,3.0,3.0,nl
208,@realthinker625,Endlich mein Projekt fertig.,2026-01-07 02:59:00,13,1.0,1.0,de
1191,@sunnydreamer555,Just adopted a puppy and I'm obsessed.,2026-02-10 16:20:00,20,2.0,2.0,en
4927,@nightthinker765,"New blog post is live, check it out!",2026-06-26 21:41:00,8,3.0,2.0,en
1596,@dailytechupdate,Cette nouvelle est incroyable.,2026-02-24 14:08:00,856,44.0,16.0,fr
1168,@msdev488,Quelle belle journee aujourd'hui!,2026-02-09 21:23:00,33,5.0,2.0,fr
4,@urbantraveler960,Reading a great book on data science right now.,2026-01-01 04:49:00,53,7.0,5.0,en
4994,@quietdev850,"Feeling grateful today, small wins count.",2026-06-29 15:39:00,37,8.0,0.0,en
1742,@techvibes895,Can we talk about how good this weather is today?,2026-03-01 19:22:00,15,4.0,2.0,en
4950,@msdev427,Just tried the new update and it's amazing! #tech,2026-06-27 20:57:00,105,16.0,4.0,en
4162,@drartist738,"New blog post is live, check it out!",2026-05-30 16:16:00,64,1.0,4.0,en
1243,@happysoul106,"Working from the coffee shop again, love this place.",2026-02-12 12:23:00,30,2.0,2.0,en
1755,@techvibes895,Can we talk about how good this weather is today?,2026-03-02 13:35:00,17,5.0,0.0,en
936,@silentstudent341,"Big news coming soon, stay tuned!",2026-02-01 14:02:00,81,5.0,6.0,en
4334,@nightgamer397,Just tried the new update and it's amazing! #tech,2026-06-05 21:04:00,31,6.0,3.0,en
3551,@mspanda608,Anyone else excited for the weekend?,2026-05-08 05:20:00,5,3.0,1.0,en
4953,@quietpanda383,No puedo creer las noticias de hoy.,2026-06-27 23:50:00,30,4.0,2.0,es
982,@cosmicwanderer621,Reading a great book on data science right now.,2026-02-03 10:05:00,58,2.0,2.0,en
1129,@wildchef664,No puedo creer las noticias de hoy.,2026-02-08 11:24:00,32,5.0,,es
258,@mslife244,Terminando el proyecto por fin.,2026-01-09 01:24:00,81,8.0,,es
3486,@msgamer981,Reading a great book on data science right now.,2026-05-05 15:24:00,66,5.0,6.0,en
4039,@urbanartist548,"New blog post is live, check it out!",2026-05-26 12:08:00,47,7.0,4.0,en
2069,@techstudent104,"Working from the coffee shop again, love this place.",2026-03-13 22:25:00,80,9.0,4.0,en
274,@realrunner705,Wat een mooie dag vandaag!,2026-01-09 14:48:00,36,2.0,3.0,nl
4944,@luckyfox776,Finally finished my project after weeks of work.,2026-06-27 15:11:00,15,5.0,0.0,en
3215,@wildstudent902,This is exactly why I love this community.,2026-04-25 16:07:00,91,5.0,5.0,en
1832,@truepanda203,"Working from the coffee shop again, love this place.",2026-03-05 18:03:00,10,3.0,0.0,en
2949,@drvibes554,"Big news coming soon, stay tuned!",2026-04-16 21:31:00,24,4.0,1.0,en
308,@wilddev434,"Working from the coffee shop again, love this place.",2026-01-09 21:40:00,166,25.0,11.0,en
3783,@silentfox174,Traffic this morning was unreal.,2026-05-16 07:18:00,58,3.0,4.0,en
2570,@justnews237,"New blog post is live, check it out!",2026-04-02 08:15:00,98,8.0,3.0,en
4103,@cosmicpanda822,Terminando el proyecto por fin.,2026-05-28 22:27:00,131,4.0,7.0,es
1638,@urbanlife82,Vivement le week-end!,2026-02-26 11:28:00,34,3.0,1.0,fr
3068,@digitalwriter441,No puedo creer las noticias de hoy.,2026-04-20 09:58:00,40,5.0,3.0,es
2137,@urbanwriter806,Just tried the new update and it's amazing! #tech,2026-03-16 19:09:00,106,8.0,7.0,en
4548,@thelife285,"Working from the coffee shop again, love this place.",2026-06-13 05:31:00,199,23.0,4.0,en
2428,@therunner54,Conference talk today was so inspiring.,2026-03-27 21:16:00,40,3.0,3.0,en
1407,@realmind514,Can we talk about how good this weather is today?,2026-02-18 00:16:00,17,2.0,0.0,en
4063,@luckywanderer748,This is exactly why I love this community.,2026-05-27 03:34:00,20,2.0,1.0,en
626,@digitalfox339,"Feeling grateful today, small wins count.",2026-01-21 04:25:00,53,7.0,2.0,en
1049,@thenews721,Je viens de terminer mon projet.,2026-02-06 11:26:00,40,4.0,3.0,fr
4177,@urbanpanda555,"Feeling grateful today, small wins count.",2026-05-31 05:00:00,102,5.0,4.0,en
